SIC4,YEAR,TCA,TROWA,TW,TA,TROW,XA,MA,XW,MW,PSIC4,EXCHR,GDP,L,LN,LP,H,E,EN,EP,W,V,V1,V2,VP,VP1,VP2,Q,Q2,QP,K,PQ,PV,PVA,PSIC4A,LA,LNA,LPA,HA,EA,ENA,EPA,WA,KA,VA,VA1,QA,LABEL_S4
3751,1981,0.045805676,0.040180259,0.108993831,0.114831258,0.060107296,13857339.52,123424276.9,17781529.75,138162083.1,0.635900178,0.83,445833,,,,,,,,,,,,,,,,,,,0.647277999,0.505812529,0.7081,0.711348684,60100,28600,31500,1.961904762,0.029970237,0.036292764,0.024229783,0.012350132,3312.7,5461.516735,4470.867052,10688.3237,PAINT AND VARNISH INDUSTRY
3751,1982,0.045805676,0.040180259,0.107453534,0.11044029,0.075283008,13512768.82,103216606.7,18583890.73,112799380,0.707421991,0.81,429289,,,,,,,,,,,,,,,,,,,0.720079514,0.565566551,0.72189,0.75,54100,26500,27600,1.942028986,0.031112086,0.037120727,0.025342919,0.013049712,3426.5,5475.210905,4333.881579,10113.37719,PAINT AND VARNISH INDUSTRY
3751,1983,0.043432486,0.036181749,0.104793567,0.106537263,0.082446131,18354133.46,136519879.9,22029550.86,147172074.2,0.730561277,0.81,438209,6725,3301,3424,2.072965245,0.033778896,0.037431798,0.030257217,0.014596104,725.1409417,609.3360926,620.2386171,671.077944,563.9069438,573.9966289,1518.501491,1545.671226,1311.43298,173.9,0.743632819,0.624874821,0.71348,0.756578947,53600,26100,27500,1.967272727,0.031738954,0.037957574,0.025836919,0.013133369,3548.9,6596.260582,5115.543478,11237.3913,PAINT AND VARNISH INDUSTRY
3751,1984,0.042638484,0.036088513,0.102994685,0.103712132,0.093279108,22510416.8,177764143.4,26527393.31,190891143.7,0.735583333,0.77,452951,6291,2942,3349,2.143774261,0.034811856,0.039459132,0.030729358,0.014334232,840.7763478,669.5205702,681.4999434,812.2640839,646.8159029,658.3890336,1582.648864,1610.966353,1443.749723,172.4,0.748744732,0.59623466,0.74741,0.78125,55300,26200,29100,1.95532646,0.031421582,0.037232189,0.026190039,0.013394203,3646.8,6598.921609,5191.684211,11510.52632,PAINT AND VARNISH INDUSTRY
3751,1985,0.039633216,0.033621257,0.096405601,0.097629929,0.081084443,23111706.77,200729706.8,27478665.69,216770198.8,0.771333333,0.73,478812,6630,3145,3485,2.141233859,0.034811463,0.039385268,0.030683883,0.014330001,914.2975375,788.8631244,794.8573898,894.9110296,772.1362926,778.0034572,1668.823149,1681.503889,1551.220654,173.9,0.777194397,0.670569453,0.76085,0.800986842,55500,26500,29000,1.962068966,0.031939759,0.037542576,0.026819943,0.013669215,3698.3,6794.111849,5307.289528,11967.04312,PAINT AND VARNISH INDUSTRY
3751,1986,0.035673985,0.032327251,0.091443943,0.092501122,0.082914511,21063627.25,201360543.9,25282999.68,226318141.8,0.819,0.72,499167,6677,3164,3513,2.0902078,0.034805207,0.040144325,0.030032952,0.014368405,840.1787325,733.0713563,745.6654457,818.9919756,714.5855222,726.8620269,1640.43772,1668.620269,1491.710782,191.6,0.833070334,0.726869149,0.75339,0.814144737,55800,27000,28800,1.979166667,0.032491381,0.038161486,0.027175658,0.013730859,3843.5,7177.15924,5461.818182,11782.22222,PAINT AND VARNISH INDUSTRY
3751,1987,0.032371277,0.031011497,0.086231673,0.086605,0.083065424,26316865.7,253193103.8,30040475.79,283046677.2,0.824416667,0.75,524852,6763,3196.960284,3566.039716,2.349931764,0.035142498,0.045710599,0.034287318,0.014590772,934.3356803,827.8865809,852.7241484,903.102553,800.2118517,824.2191448,1766.472079,1819.468311,1606.665238,196.6,0.849150133,0.752406244,0.77097,0.822368421,55200,26900,28300,1.989399293,0.033372799,0.039640498,0.027415163,0.013780624,3931.7,8068.666744,6220.7,12756.4,PAINT AND VARNISH INDUSTRY
3751,1988,0.032030509,0.029587932,0.089597988,0.089205155,0.093073928,48639910.86,236464593.6,63407053.65,263188673.6,0.86375,0.81,554466,8404,3963,4441,2.120468363,0.035907766,0.041361366,0.031041156,0.014638821,1122.749719,1020.522485,1023.328509,1070.924638,973.4161188,976.0926194,2184.788663,2190.795948,1917.159845,199.6,0.866124963,0.787263613,0.87814,0.853618421,56900,28600,28300,2.014134276,0.032613075,0.038419554,0.026745042,0.013278679,4023.8,7389.368438,6251.348748,13205.29865,PAINT AND VARNISH INDUSTRY
3751,1989,0.03003514,0.04020429,0.080412572,0.079781387,0.087466888,44619364.3,280363067.9,56329636.35,305448550.4,0.914416667,0.84,577245,8639,4142,4497,2.08012008,0.036156911,0.042019542,0.030782069,0.014798218,1103.044388,1015.968997,1009.058598,1040.402657,958.2722643,951.754306,2150.965033,2136.33464,1827.356831,206.1,0.908197005,0.836503054,0.94184,0.907072368,55000,27300,27700,2.014440433,0.033069245,0.039592517,0.026640171,0.013224601,4073.6,6851.482205,5850.407978,12425.38531,PAINT AND VARNISH INDUSTRY
3751,1990,0.029326573,0.038332213,0.066535269,0.064449921,0.08958742,61170531.89,284127162.4,70946182.48,309829927.6,0.94325,0.86,579569,8331,4141,4190,2.088138425,0.036177332,0.041956199,0.030466046,0.014590051,959.4803132,890.0895581,883.1168831,884.8412685,820.8484977,814.4182348,1945.160902,1929.923138,1595.963702,216,0.935860883,0.868178313,0.94105,0.946546053,53900,26700,27200,2.044117647,0.032414625,0.038865346,0.026082483,0.012759776,4102.4,7189.522342,5878.105995,12424.06603,PAINT AND VARNISH INDUSTRY
3751,1991,0.023639223,0.039312382,0.049191889,0.045993185,0.091402175,66382703.78,299617676,73160251.17,322322761,0.985416667,0.87,573590,7494,3861,3633,2.083484723,0.034938272,0.040467147,0.029062416,0.013948946,798.6059084,799.2290664,802.4016913,707.6050328,708.1571821,710.9682875,1734.20679,1741.090909,1385.38429,238.2,0.989328383,0.990100363,0.98562,0.986019737,51100,25900,25200,2.067460317,0.031612665,0.037310403,0.025756657,0.012458115,4144.8,6883.078671,5658.131776,11791.82652,PAINT AND VARNISH INDUSTRY
3751,1992,0.016099214,0.039400146,0.030643694,0.026332423,0.094304604,82285596,347905662,93347565,371466675,1.000083333,0.83,577164,7767,3602,4165,2.090852341,0.034556457,0.040893948,0.02907563,0.013906114,829.6,829.6,829.5308724,745.6,745.6,745.5378718,1795.6,1795.450379,1445.7,251.2,1,1,1,1,51200,25500,25700,2.070038911,0.033425781,0.040584314,0.026322957,0.012716165,4149.2,7158.7,5887.088816,12347.69737,PAINT AND VARNISH INDUSTRY
3751,1993,0.005638829,0.037931032,0.01345705,0.008196066,0.091122927,102705941.4,395993394.5,116518309.4,422817461.8,1.013416667,0.78,583613,7314,3413,3901,2.108100487,0.035309198,0.041848543,0.029562719,0.014023392,820.9754848,813.2125292,814.1764658,717.793861,711.0065672,711.8493545,1840.200113,1842.381383,1461.239723,269.4,1.014617914,1.00502392,1.0335,1.011513158,50300,24400,25900,2.061776062,0.032770479,0.039939619,0.02601654,0.012618509,4188,7472.375423,6278.617886,13053.25203,PAINT AND VARNISH INDUSTRY
3751,1994,0.002359825,0.037384043,0.016758106,0.011909317,0.091556668,143931113.7,474473465.2,161471517.2,505231035.3,1.0315,0.73,598850,7487,3495,3992,2.201427856,0.036599387,0.04325507,0.030772329,0.01397835,884.1115053,852.8760148,855.744062,771.6319289,744.3703203,746.8734852,1990.011827,1996.703829,1555.602565,275.7,1.034968723,0.998403476,1.07155,1.028782895,50100,23100,27000,2.062962963,0.0361123,0.046412579,0.02729984,0.013233316,4187.6,7933.367552,6795.363709,14170.18385,PAINT AND VARNISH INDUSTRY
3751,1995,0.001652412,0.035696557,0.010658533,0.005490016,0.086071037,169892640.5,497087748.1,196776471,531156452.2,1.091583333,0.73,602716,7235,3292,3943,2.184250571,0.036583732,0.043903326,0.030448283,0.013939922,822.313432,755.001176,755.508054,702.0624318,644.5935832,645.0263379,1875.006558,1876.265364,1447.657766,287.6,1.092316179,1.002902261,1.11823,1.080976367,52400,24600,27800,2.068345324,0.035214847,0.044843877,0.026694195,0.012906063,,7460.540318,6346.75373,13574.32057,PAINT AND VARNISH INDUSTRY
